Delegator Address,Validator Address,Shares,Balance
core1v459xhgy4vpmtvjc7aqga5cusx56jep7k42va4,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1132000000000000000000000000,1132000000
core1vkprhesrn6nqe37e4aq6yucy27eygknuf3fe78,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,12382056358000000000000000000,12382056358
core1v75wmsnzz87f745tsyuqyfl0vl2gk8hxzh3mzt,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,100000000000000000000000,100000
core1v7hfh0er0pcqqu6e286j7cgg7aa22wk979pvwx,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,7844438274000000000000000000,7844438274
core1dgu8gf8smqejkms9ed73083p8cz7mz96kv5yma,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,250000000000000000000000000,250000000
core1df0mwm3s82lm7dlrc5c52eez66uf6pt3pkd3au,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,25595672000000000000000000,25595672
core1df4r6wqhtuk33p5ty4aga8ns2gy3xlk62yjc6s,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,16764738000000000000000000,16764738
core1d08uugr9xhxgmlk0ywt32saw6nm88a4j0qfl44,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,450000000000000000000000000,450000000
core1d4yz0awrhx5l9rd22ysumq2us9vrjad0hwdkwk,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,663687576000000000000000000,663687576
core1dht5khy698q4yzj89pjcgcvfqyjj32rrct37lv,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2748000000000000000000,2748
core1dhs9hv7n3s0l7qru5f2wxscylkhvd6n72alvqz,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,130000000000000000000000000,130000000
core1dmxna33azqkefvlkfdyz2h2cztcpzwv0nmwyrp,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3614369336000000000000000000,3614369336
core1da62qw2m46h7rxa7rs44ch94kmdnje270u4xy7,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,8790000000000000000000000000,8790000000
core1dlvlnwv7w73z25k5lm27egxvz6tjr64svvgt85,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,15000000000000000000000000000,15000000000
core1wp9p84f8hrlxwk68u3rxm2nv9gawqr2w87qaeh,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,490000000000000000000000000,490000000
core1wzkm5jdl3mxrtq7nnzw6p5846wxskn0vk4hwl6,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,210080000000000000000000000,210080000
core1w9x6y5yskwwr5yrj09p37elqdpmkrqa6kjxk2h,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,10000000000000000000000000000,10000000000
core1wnrq7j8upgu9v5ndcl9zg0wsaxzvvacwqtfmjg,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3000000000000000000000000000,3000000000
core1wurmnahskyuz9jac4ynj3crtea25ru3vun59ws,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,48415000000000000000000000,48415000
core10pdkwp5kqcchmt5pr0wy02yk6wa3p6f29855nx,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,190000000000000000000000000,190000000
core102g3l8fdwv234dx56kvqptztchajup5699v5yp,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,35000000000000000000000000,35000000
core102tx3q237lewh6s6ldsc0au6avqp7xjzsahpnc,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1147000000000000000000000000,1147000000
core10s3xlujv3as58smc5k3kdw0u6qql2r0gunexlt,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,10222466000000000000000000,10222466
